"Reference1","Reference2","C215","C216","I429","I430","I431","I432","dilution"
6.654,6.213,2.955,2.792,6.92,6.44,6.241,5.646,0.102713229785503
6.531,6.34,2.302,2.142,6.381,6.418,6.3,5.349,0.0256783074463757
6.371,6.233,1.866,1.862,6.801,6.832,6.495,4.352,0.00641957686159393
6.015,6.143,1.796,1.745,5.92,5.479,5.815,2.99,0.00160489421539848
5.588,4.849,1.881,1.771,5.415,5.326,5.526,2.328,0.000401223553849621
4.365,4.57,1.619,1.767,4.183,4.247,4.299,1.822,0.000100305888462405
3.166,2.663,1.782,1.664,2.976,3.122,2.958,1.797,2.50764721156013e-05
2.318,2.486,1.838,1.651,2.275,2.185,2.388,1.873,6.26911802890033e-06
2.181,2,1.54,1.624,2.092,1.99,1.938,1.821,1.56727950722508e-06
1.75,1.622,1.588,1.589,1.808,1.771,1.857,1.744,3.9181987680627e-07
1.771,1.705,1.934,1.688,1.955,1.653,1.769,1.631,9.79549692015676e-08
1.863,1.809,1.642,1.82,1.696,1.844,1.579,1.619,2.44887423003919e-08
