"Reference1","Reference2","C037","C038","I073","I074","I075","I076","dilution"
7.177,7.419,2.203,2.488,6.885,3.188,6.515,7.017,0.125351129258249
6.786,6.722,1.484,1.504,6.791,2.164,6.763,6.498,0.0313377823145622
6.618,6.766,0.826,0.891,6.369,1.268,6.27,6.32,0.00783444557864055
6.439,5.948,0.691,0.759,5.971,0.947,5.205,5.055,0.00195861139466014
5.209,5.399,0.575,0.621,4.811,0.676,3.717,3.257,0.000489652848665034
4.309,3.447,0.582,0.569,3.418,0.609,2.231,2.138,0.000122413212166259
2.607,2.392,0.621,0.514,2.152,0.562,1.314,1.243,3.06033030415646e-05
1.336,1.471,0.614,0.517,1.293,0.59,0.943,0.832,7.65082576039116e-06
0.955,0.962,0.572,0.561,0.829,0.558,0.733,0.691,1.91270644009779e-06
0.644,0.644,0.527,0.589,0.686,0.55,0.617,0.577,4.78176610024448e-07
0.633,0.649,0.57,0.572,0.611,0.528,0.551,0.576,1.19544152506112e-07
0.583,0.598,0.555,0.597,0.609,0.602,0.567,0.598,2.9886038126528e-08
