"Reference1","Reference2","C195","C196","I389","I390","I391","I392","dilution"
9.091,8.951,4.091,4.042,9.188,9.023,9.402,8.922,0.128018363994436
8.808,8.489,2.88,2.984,9.042,8.864,8.672,9.017,0.0320045909986091
8.389,8.748,2.524,2.573,8.73,8.743,9.007,9.062,0.00800114774965228
8.348,8.471,2.132,2.413,8.597,8.306,8.3,8.25,0.00200028693741307
7.051,7.642,2.264,2.164,7.469,6.84,6.98,6.841,0.000500071734353267
6.155,5.849,2.138,2.02,6.135,5.117,5.517,5.935,0.000125017933588317
4.094,4.465,2.256,2.211,4.765,3.429,4.002,4.442,3.12544833970792e-05
2.883,2.991,2.145,1.92,3.265,2.92,2.707,3.477,7.8136208492698e-06
2.45,2.503,2.155,2.254,2.525,2.494,2.393,2.622,1.95340521231745e-06
2.355,2.22,2.252,2.183,2.488,2.303,2.152,2.104,4.88351303079363e-07
2.217,2.276,1.965,2.069,2.038,2.031,2.132,2.038,1.22087825769841e-07
2.118,2.301,2.12,2.165,2.091,2.08,2.195,2.025,3.05219564424602e-08
