"Reference1","Reference2","C311","C312","I621","I622","I623","I624","dilution"
11.083,11.441,4.671,5.534,11.844,8.754,11.933,11.51,0.148409667562887
11.595,11.522,3.506,3.889,11.976,7.121,11.256,11.73,0.0371024168907218
11.546,11.959,2.638,2.936,10.707,4.572,11.709,11.282,0.00927560422268045
10.713,10.82,2.668,2.73,10.83,3.569,10.649,10.821,0.00231890105567011
9.908,9.61,2.835,2.604,9.551,3.01,9.937,9.72,0.000579725263917528
6.916,8.041,2.477,2.637,6.437,2.56,8.008,8.397,0.000144931315979382
5.725,4.979,2.618,2.871,4.415,2.703,5.691,6.519,3.62328289948455e-05
3.894,4.101,2.798,2.557,3.937,2.452,3.941,4.297,9.05820724871138e-06
3.123,3.411,2.637,2.673,2.744,2.469,3.245,3.559,2.26455181217784e-06
2.638,3.032,2.653,2.878,2.957,2.716,2.981,2.901,5.66137953044461e-07
2.629,2.665,2.634,2.578,2.636,2.667,2.698,2.696,1.41534488261115e-07
2.805,2.642,2.44,2.464,2.613,2.599,2.903,2.54,3.53836220652788e-08
