"Reference1","Reference2","C297","C298","I593","I594","I595","I596","dilution"
9.979,10.506,4.281,4.629,9.702,5.725,9.771,8.041,0.14682622491786
9.785,9.775,3.036,3.169,8.782,4.016,9.394,5.815,0.036706556229465
9.528,9.301,2.646,2.671,8.901,3.058,8.214,4.101,0.00917663905736625
9.074,8.57,2.475,2.142,8.095,2.55,7.035,3.149,0.00229415976434156
7.371,7.631,2.199,2.12,6.867,2.29,5.392,2.757,0.000573539941085391
6.284,6.661,2.223,2.168,4.454,2.192,3.939,2.536,0.000143384985271348
4.537,4.846,2.233,2.148,3.286,2.004,2.72,2.377,3.58462463178369e-05
3.021,3.358,2.074,2.094,2.851,2.202,2.569,2.29,8.96156157945923e-06
2.729,2.693,2.052,2.205,2.51,2.076,2.246,2.147,2.24039039486481e-06
2.342,2.384,2.223,2.094,2.225,2.102,2.412,2.254,5.60097598716202e-07
2.119,2.266,2.067,2.139,2.117,2.234,2.217,2.118,1.40024399679051e-07
2.292,2.168,2.111,2.288,2.201,2.164,2.205,1.964,3.50060999197626e-08
