"Reference1","Reference2","C335","C336","I669","I670","I671","I672","dilution"
10.571,10.554,4.254,4.186,8.722,8.668,8.3,10.534,0.121419032363941
10.733,10.904,3.171,3.361,7.804,6.76,7.423,10.435,0.0303547580909853
10.379,9.772,2.656,2.724,6.412,4.97,4.857,9.566,0.00758868952274633
9.672,9.374,2.27,2.503,4.279,3.374,3.549,9.075,0.00189717238068658
8.175,7.84,2.198,2.166,2.969,2.68,2.947,8.565,0.000474293095171646
6.167,6.66,2.311,2.381,2.614,2.473,2.584,6.665,0.000118573273792911
4.63,4.454,2.215,2.201,2.26,2.476,2.233,4.604,2.96433184482279e-05
3.314,3.002,2.248,2.315,2.315,2.352,2.08,3.214,7.41082961205696e-06
2.666,2.705,2.171,2.558,2.244,2.236,2.399,2.794,1.85270740301424e-06
2.344,2.293,2.378,2.309,1.993,2.175,2.414,2.428,4.6317685075356e-07
2.137,2.041,2.144,2.212,2.128,2.371,2.289,2.164,1.1579421268839e-07
2.244,2.169,2.348,2.059,2.206,2.207,2.339,2.293,2.89485531720975e-08
