"Reference1","Reference2","C251","C252","I501","I502","I503","I504","dilution"
6.643,6.768,3.283,3.635,3.109,6.423,6.262,6.611,0.125554257179281
6.602,6.282,2.93,2.618,2.677,6.364,5.658,6.613,0.0313885642948203
6.362,6.391,2.346,2.309,2.418,6.427,5.411,6.713,0.00784714107370508
6.192,6.564,2.247,2.231,2.275,5.495,4.269,5.939,0.00196178526842627
5.364,5.276,2.193,2.168,2.202,4.601,3.121,5.575,0.000490446317106567
4.484,4.496,1.984,2.282,2.256,3.607,2.634,4.596,0.000122611579276642
3.575,3.676,2.027,2.092,2.288,2.983,2.307,3.467,3.06528948191605e-05
2.961,2.709,2.181,2.12,2.263,2.489,2.278,3.027,7.66322370479012e-06
2.495,2.377,2.178,2.166,2.178,2.542,2.193,2.429,1.91580592619753e-06
1.99,2.316,2.111,2.059,2.21,2.201,2.082,2.286,4.78951481549382e-07
2.152,2.039,2.267,2.23,2.318,2.235,2.278,2.068,1.19737870387346e-07
2.268,2.278,2.112,2.123,2.207,2.375,2.011,2.162,2.99344675968364e-08
