"Reference1","Reference2","C305","C306","I609","I610","I611","I612","dilution"
13.878,13.627,4.873,5.604,12.512,13.132,13.44,14.531,0.122532079414457
14.081,14.374,3.686,3.832,11.048,10.968,13.526,14.71,0.0306330198536142
13.24,13.685,2.74,3.111,8.205,7.872,12.305,13.359,0.00765825496340355
13.066,12.702,2.548,2.717,5.179,5.517,12.516,12.467,0.00191456374085089
10.431,12.682,2.465,2.581,3.694,4.041,10.547,11.179,0.000478640935212722
9.043,9.113,2.511,2.474,2.707,3.16,7.362,8.487,0.00011966023380318
6.228,5.974,2.544,2.184,2.598,2.55,5.652,5.639,2.99150584507951e-05
4.047,4.141,2.192,2.335,2.462,2.403,3.827,3.851,7.47876461269878e-06
3.024,3.277,2.395,2.347,2.502,2.471,2.932,3.013,1.86969115317469e-06
2.498,2.54,2.356,2.455,2.415,2.385,2.63,2.426,4.67422788293674e-07
2.458,2.613,2.289,2.262,2.235,2.419,2.343,2.25,1.16855697073418e-07
2.368,2.388,2.228,2.567,2.41,2.311,2.618,2.307,2.92139242683546e-08
