"Reference1","Reference2","C117","C118","I233","I234","I235","I236","dilution"
10.155,10.461,5.002,4.697,9.511,8.118,11.273,6.55,0.158779337083598
10.671,11.061,3.634,3.838,8.423,7.069,10.396,4.946,0.0396948342708995
10.207,10.217,3.147,3.166,6.871,5.365,10.872,3.387,0.00992370856772486
9.567,9.595,2.397,2.589,4.754,3.637,9.151,2.691,0.00248092714193122
9.118,8.992,2.245,2.549,3.573,2.884,9.008,2.661,0.000620231785482804
7.462,7.245,2.539,2.441,2.948,2.363,6.916,2.566,0.000155057946370701
5.255,5.046,2.568,2.504,2.729,2.678,5.04,2.292,3.87644865926752e-05
3.749,3.757,2.458,2.232,2.708,2.364,4.028,2.291,9.69112164816881e-06
2.929,2.803,2.315,2.278,2.532,2.63,2.962,2.503,2.4227804120422e-06
2.524,2.63,2.495,2.453,2.557,2.319,2.683,2.215,6.05695103010551e-07
2.308,2.517,2.399,2.264,2.247,2.236,2.283,2.307,1.51423775752638e-07
2.253,2.384,2.328,2.534,2.162,2.441,2.398,2.506,3.78559439381594e-08
