"Reference1","Reference2","C061","C062","I121","I122","I123","I124","dilution"
9.822,9.682,3.706,3.699,5.848,9.614,9.603,3.983,0.0967392774255765
9.644,9.969,2.99,2.817,4.191,9.805,9.138,2.84,0.0241848193563941
9.395,10.236,2.276,2.336,3.085,9.848,8.817,2.296,0.00604620483909853
8.592,8.587,2.243,2.035,2.581,8.692,6.281,2.097,0.00151155120977463
7.831,7.881,2.004,2.123,2.356,7.968,4.8,2.341,0.000377887802443658
6.298,5.634,2.061,2.232,2.181,5.693,3.545,1.985,9.44719506109145e-05
3.929,4.068,2.124,2.269,2.066,4.007,2.755,2.044,2.36179876527286e-05
2.931,3.164,2.105,2.057,2.034,3.024,2.334,1.848,5.90449691318216e-06
2.592,2.532,1.988,2.212,1.989,2.458,2.047,1.992,1.47612422829554e-06
1.997,2.304,2.027,2.133,2.079,2.19,2.08,2.137,3.69031057073885e-07
1.892,2.084,2.001,2.264,2.005,2.049,2.004,1.971,9.22577642684712e-08
1.871,1.975,2.223,2.225,2.049,2.049,1.986,2.058,2.30644410671178e-08
