"Reference1","Reference2","C047","C048","I093","I094","I095","I096","dilution"
9.17,9.827,3.704,3.346,4.137,6.975,4.35,9.135,0.100850307000636
9.683,9.452,2.628,2.469,2.887,5.771,3.407,8.958,0.0252125767501591
9.595,8.585,1.997,2.045,1.808,3.669,2.38,7.049,0.00630314418753978
8.56,8.373,1.792,1.691,1.788,2.672,1.892,5.379,0.00157578604688494
7.572,7.269,1.686,1.586,1.653,1.891,1.688,3.509,0.000393946511721236
5.541,5.503,1.633,1.658,1.65,1.727,1.677,2.395,9.8486627930309e-05
3.736,4.033,1.71,1.618,1.579,1.794,1.546,1.869,2.46216569825773e-05
2.4,2.578,1.634,1.575,1.582,1.631,1.415,1.679,6.15541424564431e-06
2.001,1.988,1.749,1.626,1.686,1.59,1.621,1.596,1.53885356141108e-06
1.762,1.649,1.608,1.547,1.492,1.606,1.512,1.694,3.8471339035277e-07
1.721,1.642,1.568,1.671,1.639,1.462,1.571,1.58,9.61783475881924e-08
1.628,1.551,1.68,1.633,1.618,1.704,1.644,1.547,2.40445868970481e-08
