"Reference1","Reference2","C347","C348","I693","I694","I695","I696","dilution"
8.757,8.111,4.027,3.889,3.741,7.978,8.491,8.593,0.143976747760578
8.113,7.656,3.068,2.94,3.492,7.677,7.851,7.903,0.0359941869401444
7.898,8.17,2.629,2.608,2.627,7.57,7.785,7.535,0.00899854673503611
7.599,7.715,2.377,2.394,2.319,7.59,7.133,7.469,0.00224963668375903
6.82,6.881,2.274,2.591,2.361,7.397,6.821,6.674,0.000562409170939757
5.592,5.432,2.384,2.369,2.158,5.734,5.968,5.421,0.000140602292734939
4.2,4.689,2.147,2.194,2.383,4.457,4.029,3.929,3.51505731837348e-05
3.162,3.168,2.172,1.972,2.285,3.582,3.418,3.286,8.7876432959337e-06
2.827,2.702,2.139,2.122,2.257,2.694,2.55,2.733,2.19691082398342e-06
2.421,2.157,2.154,2.277,2.225,2.37,2.526,2.537,5.49227705995856e-07
2.445,2.604,2.274,2.305,2.239,2.3,2.321,2.235,1.37306926498964e-07
2.343,2.151,2.202,2.194,2.251,2.319,2.289,2.275,3.4326731624741e-08
