"Reference1","Reference2","C029","C030","I057","I058","I059","I060","dilution"
6.967,6.968,3.482,3.43,6.765,6.386,6.928,5.634,0.171428261936765
6.685,7.337,2.297,2.564,6.422,5.516,6.494,4.688,0.0428570654841912
6.654,7.135,1.965,1.907,5.042,4.205,5.977,3.624,0.0107142663710478
6.579,6.804,1.731,1.729,3.871,2.825,4.661,2.636,0.00267856659276195
6.263,6.04,1.647,1.583,2.671,2.146,3.507,2.153,0.000669641648190487
5.085,4.592,1.586,1.716,1.851,1.744,2.418,1.785,0.000167410412047622
3.596,3.859,1.796,1.825,1.878,1.773,1.847,1.719,4.18526030119054e-05
2.734,2.515,1.713,1.567,1.653,1.68,1.827,1.684,1.04631507529764e-05
2.111,1.927,1.636,1.765,1.668,1.699,1.606,1.539,2.61578768824409e-06
2.004,1.668,1.713,1.538,1.679,1.606,1.681,1.505,6.53946922061023e-07
1.655,1.762,1.686,1.743,1.754,1.759,1.545,1.674,1.63486730515256e-07
1.561,1.664,1.789,1.732,1.591,1.825,1.629,1.63,4.08716826288139e-08
