"Reference1","Reference2","C219","C220","I437","I438","I439","I440","dilution"
9.528,10.045,4.222,4.452,9.588,10.123,10.227,10.027,0.0986691002238675
9.997,9.706,2.801,2.986,10.105,10.475,8.916,9.002,0.0246672750559669
9.369,9.871,2.29,2.336,9.99,9.633,7.962,7.001,0.00616681876399172
8.723,9.135,2.249,2.193,9.079,9.642,5.886,5.422,0.00154170469099793
7.6,7.705,2.232,2.111,7.638,8.253,4.227,3.578,0.000385426172749482
6.146,6.114,2.268,2.202,5.734,7.3,3.342,2.634,9.63565431873706e-05
4.526,4.447,2.046,2.085,4.72,5.475,2.478,2.37,2.40891357968426e-05
3.22,3.184,2.244,1.952,2.891,3.704,2.136,2.147,6.02228394921066e-06
2.7,2.57,2.023,1.935,2.523,2.688,2.096,2.086,1.50557098730267e-06
2.232,2.235,2.183,1.972,2.203,2.165,2.104,1.965,3.76392746825666e-07
2.095,2.208,2.166,2.371,2.117,2.137,1.995,2.058,9.40981867064166e-08
2.01,2.214,2.041,1.951,2.048,2.269,2.177,1.992,2.35245466766041e-08
