"Reference1","Reference2","C013","C014","I025","I026","I027","I028","dilution"
12.298,11.757,5.114,5.467,12.975,5.665,7.875,5.574,0.111361595560431
11.858,11.002,4.003,4.318,12.119,4.056,6.441,3.909,0.0278403988901076
11.741,11.818,3.268,3.387,11.554,3.468,4.598,3.524,0.00696009972252691
11.064,11.132,3.078,2.872,10.16,3.035,3.504,3.361,0.00174002493063173
9.628,10.068,3.089,3.188,8.717,3.152,3.338,2.782,0.000435006232657932
7.656,7.873,2.773,2.757,6.369,3.345,2.769,3.147,0.000108751558164483
5.604,5.458,2.929,3.045,4.691,3.011,2.833,2.916,2.71878895411207e-05
4.397,4.173,2.92,2.85,3.571,2.98,2.958,3.241,6.79697238528019e-06
3.549,3.416,2.879,2.905,3.213,3.238,3.244,3.024,1.69924309632005e-06
3.395,3.024,2.968,2.918,2.948,2.839,2.838,3.069,4.24810774080012e-07
3.063,2.667,2.979,2.901,2.813,3.031,2.981,2.883,1.06202693520003e-07
2.937,2.874,2.906,2.84,2.8,3.122,3.059,3.078,2.65506733800007e-08
