"Reference1","Reference2","C097","C098","I193","I194","I195","I196","dilution"
10.896,11.468,4.581,4.905,10.885,9.766,10.943,6.778,0.14191277615529
10.197,10.586,2.751,2.768,11.071,9.054,10.75,5.077,0.0354781940388226
10.868,10.769,2.271,2.089,10.499,7.822,11.259,3.446,0.00886954850970565
11.32,10.325,1.758,1.751,9.766,5.706,10.499,2.203,0.00221738712742641
9.05,8.35,1.62,1.626,9.363,3.309,9.143,1.774,0.000554346781856603
6.772,6.815,1.51,1.564,6.579,2.2,7.904,1.711,0.000138586695464151
5.067,4.889,1.654,1.449,4.649,1.96,5.22,1.484,3.46466738660377e-05
3.054,3.117,1.523,1.654,2.96,1.57,3.323,1.611,8.66166846650943e-06
2.305,2.218,1.665,1.632,2.257,1.618,2.347,1.518,2.16541711662736e-06
1.731,1.805,1.578,1.454,1.666,1.409,1.856,1.468,5.41354279156839e-07
1.634,1.544,1.422,1.689,1.631,1.579,1.661,1.58,1.3533856978921e-07
1.596,1.62,1.434,1.654,1.451,1.493,1.496,1.556,3.38346424473025e-08
