"Reference1","Reference2","C271","C272","I541","I542","I543","I544","dilution"
12.227,12.632,4.788,3.882,12.216,5.095,12.705,12.21,0.114716892077296
12.283,13.272,2.984,2.659,13.077,3.211,12.884,11.257,0.028679223019324
11.534,12.006,2.355,2.097,12.299,2.276,12.491,9.655,0.007169805754831
10.903,11.56,1.923,1.948,11.881,1.896,10.898,6.032,0.00179245143870775
9.486,8.619,1.646,1.431,9.466,1.69,9.147,3.996,0.000448112859676937
7.018,7.47,1.795,1.493,7.917,1.629,6.911,2.71,0.000112028214919234
4.896,4.975,1.471,1.66,5.54,1.625,4.195,2.052,2.80070537298086e-05
2.973,2.987,1.477,1.687,3.781,1.72,2.878,1.775,7.00176343245215e-06
2.193,2.208,1.611,1.606,2.485,1.553,2.061,1.648,1.75044085811304e-06
1.886,1.757,1.478,1.524,1.846,1.718,1.762,1.578,4.37610214528259e-07
1.639,1.671,1.568,1.624,1.685,1.658,1.698,1.444,1.09402553632065e-07
1.47,1.476,1.564,1.634,1.603,1.651,1.609,1.612,2.73506384080162e-08
