"Reference1","Reference2","C283","C284","I565","I566","I567","I568","dilution"
11.462,12.24,4.158,5.008,12.339,12.059,12.518,7.661,0.116127205623515
12.177,11.844,3.326,3.568,11.977,11.812,11.935,5.555,0.0290318014058787
11.423,12.198,2.729,2.579,11.192,11.137,12.031,3.767,0.00725795035146968
10.806,11.107,2.461,2.499,9.506,10.689,10.966,2.701,0.00181448758786742
9.477,9.918,2.23,2.533,7.296,9.451,10.042,2.505,0.000453621896966855
6.803,7.802,2.345,2.198,4.752,6.648,8.112,2.301,0.000113405474241714
5.094,5.395,2.127,2.241,3.567,4.627,5.724,2.198,2.83513685604284e-05
3.666,3.723,2.608,2.337,2.632,3.355,3.997,2.327,7.08784214010711e-06
3.078,2.792,2.439,2.284,2.441,2.763,2.814,2.218,1.77196053502678e-06
2.322,2.593,2.112,2.28,2.122,2.414,2.475,2.333,4.42990133756694e-07
2.307,2.236,2.232,2.26,2.307,2.397,2.234,2.248,1.10747533439174e-07
2.109,2.314,2.25,2.118,2.169,2.433,2.39,2.228,2.76868833597934e-08
