"Reference1","Reference2","C171","C172","I341","I342","I343","I344","dilution"
12.746,12.775,4.489,4.943,9.502,12.732,8.516,5.301,0.136549882937183
12.664,13.658,3.192,3.19,7.989,12.842,6.701,3.253,0.0341374707342957
12.808,12.76,2.348,2.424,4.917,11.737,4.852,2.515,0.00853436768357392
11.97,11.877,2.167,2.191,3.391,11.751,2.989,2.014,0.00213359192089348
10.186,10.288,1.992,1.953,2.474,10.804,2.242,1.883,0.00053339798022337
6.915,8.05,1.885,1.859,2.105,7.344,1.932,1.979,0.000133349495055843
5.388,6.013,1.988,1.877,1.921,4.793,1.842,1.841,3.33373737639606e-05
3.258,3.575,1.674,1.789,1.969,3.076,1.909,1.887,8.33434344099016e-06
2.53,2.639,2.038,1.843,1.805,2.601,1.771,1.799,2.08358586024754e-06
2.096,2.156,1.796,1.862,1.816,2.116,1.742,1.927,5.20896465061885e-07
1.933,1.984,1.873,1.786,1.872,1.94,1.946,1.677,1.30224116265471e-07
1.833,1.754,1.778,1.962,1.954,1.864,1.856,1.902,3.25560290663678e-08
