"Reference1","Reference2","C121","C122","I241","I242","I243","I244","dilution"
11.912,13.386,4.424,4.731,12.248,12.144,12.449,11.99,0.125686039044947
12.413,12.93,2.924,3.14,12.922,11.82,11.364,11.316,0.0314215097612368
12.674,12.186,1.963,2.209,11.234,9.586,9.596,11.412,0.0078553774403092
11.345,10.862,1.975,1.598,9.004,7.144,7.41,9.224,0.0019638443600773
9.65,9.699,1.661,1.556,6.588,5.078,4.53,7.716,0.000490961090019325
7.368,8.547,1.711,1.693,4.24,3.342,2.665,4.996,0.000122740272504831
4.789,5.036,1.513,1.721,2.698,2.364,2.151,3.147,3.06850681262078e-05
2.879,3.269,1.5,1.658,1.899,1.658,1.689,2.114,7.67126703155196e-06
2.15,2.183,1.514,1.617,1.703,1.725,1.541,1.858,1.91781675788799e-06
1.825,1.884,1.728,1.541,1.598,1.53,1.547,1.828,4.79454189471997e-07
1.609,1.708,1.608,1.565,1.708,1.609,1.527,1.718,1.19863547367999e-07
1.499,1.608,1.625,1.505,1.462,1.584,1.561,1.64,2.99658868419998e-08
