"Reference1","Reference2","C069","C070","I137","I138","I139","I140","dilution"
11.402,11.173,4.401,4.288,9.687,11.293,4.231,4.52,0.0922496940120867
11.131,12.096,3.126,3.131,7.032,10.045,3.091,3.149,0.0230624235030217
11.124,11.558,2.398,2.546,4.847,9.026,2.555,2.473,0.00576560587575542
10.115,10.241,2.368,2.274,3.576,6.803,2.197,2.284,0.00144140146893886
8.799,8.987,2.281,2.192,2.91,4.76,2.253,2.296,0.000360350367234714
7.089,7.187,2.12,2.09,2.272,3.397,2.221,2.109,9.00875918086785e-05
4.649,4.254,2.297,2.15,2.339,2.81,2.29,2.328,2.25218979521696e-05
3.062,3.694,2.039,2.174,2.184,2.377,2.244,2.191,5.6304744880424e-06
2.469,2.657,2.215,2.027,2.015,2.189,2.32,2.114,1.4076186220106e-06
2.419,2.39,2.291,2.327,2.122,2.202,2.132,2.125,3.5190465550265e-07
2.236,2.07,2.085,2.048,2.07,2.192,2.174,2.095,8.79761638756626e-08
2.326,2.215,2.225,2.074,2.19,2.184,2.011,1.926,2.19940409689156e-08
