"Reference1","Reference2","C113","C114","I225","I226","I227","I228","dilution"
8.33,7.862,3.776,3.803,8.267,3.991,7.839,3.955,0.122825495221451
8.358,8.49,3.215,2.985,8.213,2.805,8.442,2.937,0.0307063738053628
7.975,7.799,2.456,2.488,7.704,2.392,8.411,2.503,0.00767659345134071
7.53,7.596,2.372,2.346,6.987,2.324,7.843,2.376,0.00191914836283518
6.842,6.364,2.226,2.209,5.806,2.263,6.983,2.005,0.000479787090708794
5.867,5.598,2.267,2.265,3.778,2.224,5.648,2.191,0.000119946772677199
3.864,4.178,2.162,2.347,3.173,2.107,4.036,2.433,2.99866931692996e-05
3.083,3.195,2.28,2.194,2.504,2.064,2.79,2.069,7.49667329232491e-06
2.532,2.6,2.242,2.028,2.157,2.166,2.796,2.123,1.87416832308123e-06
2.26,2.193,2.347,2.061,2.246,2.299,2.442,2.186,4.68542080770307e-07
2.209,2.437,2.257,2.087,2.228,2.042,2.216,2.032,1.17135520192577e-07
2.371,2.206,2.027,2.036,2.259,2.176,2.15,2.095,2.92838800481442e-08
