"Reference1","Reference2","C045","C046","I089","I090","I091","I092","dilution"
9.745,9.803,4.498,4.206,4.646,8.461,8.895,9.37,0.155293479621676
9.542,9.562,3.081,3.118,2.792,7.044,7.556,9.493,0.038823369905419
9.326,9.431,2.253,2.039,2.191,4.865,5.991,9.161,0.00970584247635474
9.238,8.888,1.977,1.991,1.965,3.72,4.079,8.919,0.00242646061908869
7.703,7.852,1.905,1.779,1.642,2.277,3.016,7.948,0.000606615154772171
6.452,5.957,1.756,1.724,1.61,1.932,2.32,5.886,0.000151653788693043
4.602,4.21,1.673,1.734,1.965,1.896,1.95,4.029,3.79134471732607e-05
3.214,2.672,1.648,1.83,1.731,1.866,1.606,3.116,9.47836179331518e-06
2.074,2.299,1.609,1.582,1.626,1.774,1.736,2.277,2.36959044832879e-06
2.057,1.639,1.79,1.682,1.675,1.664,1.654,1.996,5.92397612082199e-07
1.75,1.77,1.579,1.633,1.638,1.697,1.758,1.605,1.4809940302055e-07
1.752,1.819,1.786,1.574,1.745,1.751,1.67,1.575,3.70248507551374e-08
