"Reference1","Reference2","C227","C228","I453","I454","I455","I456","dilution"
10.062,10.547,3.42,4.161,10.544,7.926,10.27,9.885,0.126396062723534
10.119,9.916,2.787,2.942,10.06,7.15,9.838,9.96,0.0315990156808835
9.356,9.861,2.049,2.021,10.097,4.916,9.105,9.398,0.00789975392022087
9.004,10.095,1.893,1.793,9.083,3.298,8.909,8.326,0.00197493848005522
7.954,7.38,1.678,1.735,8.226,2.355,8.332,6.324,0.000493734620013805
5.82,5.724,1.645,1.675,6.191,1.987,5.804,4.508,0.000123433655003451
4.118,4.288,1.67,1.811,3.53,1.884,4.281,3.162,3.08584137508628e-05
2.968,2.851,1.652,1.618,2.738,1.678,2.776,2.182,7.7146034377157e-06
2.163,2.119,1.679,1.47,2.273,1.738,2.155,1.737,1.92865085942892e-06
1.688,1.892,1.803,1.53,1.743,1.565,1.821,1.766,4.82162714857231e-07
1.876,1.624,1.709,1.772,1.655,1.732,1.606,1.573,1.20540678714308e-07
1.743,1.778,1.642,1.645,1.697,1.65,1.717,1.736,3.01351696785769e-08
