"Reference1","Reference2","C201","C202","I401","I402","I403","I404","dilution"
10.874,11.228,4.787,4.613,10.195,5.209,5.104,9.972,0.177980634545728
9.83,10.468,3.299,3.457,11.559,3.558,2.97,8.833,0.0444951586364319
10.45,10.491,2.395,2.641,10.99,2.65,2.407,8.516,0.011123789659108
9.913,10.197,2.114,2.161,10.013,2.26,2.204,5.981,0.002780947414777
9.101,8.95,2.004,1.907,9.08,1.947,1.863,4.04,0.000695236853694249
7.497,7.435,1.839,2.103,7.317,1.776,1.856,2.704,0.000173809213423562
4.772,5.03,1.968,1.861,5.009,1.852,1.943,2.152,4.34523033558906e-05
3.367,3.697,1.857,1.773,3.793,1.857,1.771,1.93,1.08630758389726e-05
2.699,2.444,1.946,1.958,2.398,2.025,1.9,1.862,2.71576895974316e-06
1.93,2.083,1.922,1.843,2.152,1.855,1.977,1.958,6.7894223993579e-07
1.788,1.86,2.072,2.048,2.14,1.933,1.865,1.906,1.69735559983948e-07
2.111,1.912,1.945,1.944,2.029,1.814,1.896,1.914,4.24338899959869e-08
