"Reference1","Reference2","C135","C136","I269","I270","I271","I272","dilution"
11.884,11.299,4.515,3.986,10.983,11.527,11.496,5.759,0.123608578332722
10.723,11.637,2.852,2.788,10.555,10.617,11.14,4.361,0.0309021445831805
11.394,10.446,1.998,2.118,10.239,11.522,11.535,2.715,0.00772553614579514
10.452,10.846,1.857,1.963,8.577,10.075,10.367,1.976,0.00193138403644878
9.643,9.392,1.843,1.793,6.176,8.484,8.573,1.95,0.000482846009112196
6.831,7.424,1.713,1.676,3.951,6.054,6.184,1.739,0.000120711502278049
4.93,4.761,1.664,1.747,2.783,4.277,4.354,1.786,3.01778755695123e-05
3.192,3.284,1.688,1.615,2.271,2.881,2.872,1.718,7.54446889237806e-06
2.393,2.271,1.676,1.849,1.838,2.128,2.221,1.792,1.88611722309452e-06
1.869,1.808,1.718,1.684,1.737,1.873,1.767,1.612,4.71529305773629e-07
1.686,1.771,1.664,1.748,1.624,1.663,1.685,1.691,1.17882326443407e-07
1.693,1.687,1.597,1.695,1.558,1.688,1.658,1.605,2.94705816108518e-08
