"Reference1","Reference2","C197","C198","I393","I394","I395","I396","dilution"
7.469,8.216,3.719,3.955,8.003,7.637,7.866,3.687,0.122915972752578
7.616,7.538,2.968,2.697,7.452,7.827,7.525,2.822,0.0307289931881445
7.414,7.801,2.47,2.397,7.448,7.774,7.437,2.542,0.00768224829703612
7.296,6.991,2.226,2.187,6.98,7.296,7.251,2.249,0.00192056207425903
6.508,6.609,2.265,2.061,6.052,5.974,6.179,2.298,0.000480140518564757
5.206,4.958,2.061,2.197,5.066,4.633,4.798,2.157,0.000120035129641189
3.771,3.813,2.118,2.043,3.814,3.642,3.577,2.081,3.00087824102973e-05
2.797,2.749,2.061,2.062,2.643,2.654,2.768,2.033,7.50219560257433e-06
2.27,2.516,1.99,2.078,2.388,2.285,2.241,2.106,1.87554890064358e-06
2.253,2.309,2.092,1.925,2.229,2.17,2.217,2.096,4.68887225160896e-07
2.086,2.338,2.045,2.173,2.31,2.111,2.069,1.926,1.17221806290224e-07
2.028,1.973,1.855,2.028,2.19,2.227,1.997,2.143,2.9305451572556e-08
