"Reference1","Reference2","C193","C194","I385","I386","I387","I388","dilution"
6.388,6.214,3.426,3.198,6.58,4.87,3.372,5.704,0.126484806871964
5.998,6.517,2.75,2.752,5.901,4.135,2.793,5.525,0.031621201717991
6.483,6.258,2.417,2.306,6.267,3.256,2.473,4.303,0.00790530042949775
5.8,6.047,2.429,2.337,5.832,2.513,2.224,3.276,0.00197632510737444
5.239,5.315,2.345,2.069,5.533,2.514,2.174,2.618,0.000494081276843609
4.616,4.485,2.47,2.259,4.469,2.241,2.159,2.445,0.000123520319210902
3.331,3.754,2.347,2.297,3.554,2.3,2.464,2.025,3.08800798027256e-05
2.635,2.824,2.068,2.246,3.186,2.224,2.214,2.228,7.7200199506814e-06
2.523,2.44,2.172,2.259,2.432,2.264,2.191,2.251,1.93000498767035e-06
2.433,2.337,2.051,2.139,2.173,2.016,2.402,2.266,4.82501246917587e-07
2.182,2.151,2.375,2.2,2.277,2.05,2.12,2.3,1.20625311729397e-07
2.229,2.136,2.176,2.031,2.194,2.085,2.226,2.302,3.01563279323492e-08
