"Reference1","Reference2","C231","C232","I461","I462","I463","I464","dilution"
10.541,10.26,4.367,4.871,10.336,8.725,10.071,10.238,0.133688771427263
10.363,10.217,3.021,2.433,10.3,6.346,9.809,9.408,0.0334221928568158
10.502,10.673,2.338,2.523,10.031,4.373,10.644,8.752,0.00835554821420396
9.579,10.066,2.117,2.157,9.387,3.051,10.235,6.551,0.00208888705355099
8.901,8.491,2.067,1.955,6.824,2.378,8.086,4.258,0.000522221763387747
6.919,6.448,2.174,1.881,4.291,2.017,6.662,2.861,0.000130555440846937
4.587,5.151,1.962,1.894,3.349,2.079,3.819,2.223,3.26388602117342e-05
2.893,3.373,1.849,2.061,2.803,1.873,2.864,1.98,8.15971505293355e-06
2.456,2.671,2.05,2.199,2.265,1.873,2.404,1.851,2.03992876323339e-06
2.2,2.244,2.035,1.871,1.881,1.955,2.074,1.979,5.09982190808347e-07
1.946,2.209,1.887,1.964,1.966,1.906,2.063,2.082,1.27495547702087e-07
1.929,1.838,1.924,1.906,1.961,1.819,1.956,1.992,3.18738869255217e-08
