"Reference1","Reference2","C067","C068","I133","I134","I135","I136","dilution"
9.77,8.857,3.41,3.781,7.116,3.774,9.079,6.13,0.080878109630019
9.299,9.42,2.706,2.921,5.004,2.706,8.832,4.14,0.0202195274075047
8.658,8.79,2.454,2.094,3.164,2.374,7.877,2.999,0.00505488185187619
8.467,8.256,2.197,2.171,2.838,1.919,6.542,2.555,0.00126372046296905
7.653,7.148,2.274,2.11,2.207,2.17,4.882,2.259,0.000315930115742262
5.225,5.538,2.01,2.083,2.158,2.219,3.204,2.072,7.89825289355654e-05
3.961,4.077,1.997,2.053,2.021,1.822,2.516,2.017,1.97456322338914e-05
2.779,2.779,1.895,1.922,2.045,2.04,2.241,2.068,4.93640805847284e-06
2.394,2.355,2.001,2.121,2.027,2.029,2.158,2.105,1.23410201461821e-06
2.223,2.263,2.119,1.999,1.953,2.094,2.168,2.13,3.08525503654552e-07
2,2.058,1.808,2.032,2.248,2.087,1.964,1.931,7.71313759136381e-08
2.046,1.992,2.223,2.107,1.99,2.037,1.896,2.033,1.92828439784095e-08
