"Reference1","Reference2","C173","C174","I345","I346","I347","I348","dilution"
7.071,7.079,2.923,2.912,6.26,6.556,7.198,6.555,0.133178126756945
7.375,6.856,2.149,2.214,6.152,6.396,6.921,6.823,0.0332945316892362
6.673,6.626,1.865,1.726,5.718,5.198,6.937,6.547,0.00832363292230904
6.711,6.912,1.729,1.597,4.09,3.96,6.64,6.486,0.00208090823057726
5.508,5.989,1.585,1.624,3.172,2.821,5.549,6.223,0.000520227057644315
4.129,4.909,1.548,1.386,2.236,2.021,4.228,4.532,0.000130056764411079
3.183,3.138,1.571,1.467,1.71,1.8,3.231,3.35,3.25141911027697e-05
2.057,2.37,1.536,1.644,1.511,1.69,2.35,2.562,8.12854777569242e-06
1.864,1.771,1.52,1.612,1.566,1.461,1.862,1.769,2.03213694392311e-06
1.575,1.684,1.418,1.479,1.578,1.536,1.656,1.736,5.08034235980776e-07
1.631,1.541,1.482,1.626,1.423,1.545,1.566,1.602,1.27008558995194e-07
1.534,1.516,1.581,1.453,1.455,1.44,1.519,1.62,3.17521397487985e-08
