"Reference1","Reference2","C279","C280","I557","I558","I559","I560","dilution"
12.964,12.098,4.598,4.928,12.566,12.263,11.899,7.558,0.117447825756351
12.377,13.763,3.432,3.385,13.321,12.124,11.995,5.097,0.0293619564390878
11.689,11.713,2.767,2.743,12.836,12.541,12.012,3.092,0.00734048910977195
11.393,11.22,2.037,2.248,12.296,11.204,12.046,2.488,0.00183512227744299
10.057,9.816,2.261,2.138,10.942,9.15,10.588,2.264,0.000458780569360747
7.09,7.301,2.17,2.196,8.728,7.423,7.945,2.236,0.000114695142340187
5.219,5.516,2.095,2.185,5.907,5.194,5.546,2.17,2.86737855850467e-05
3.528,3.772,2.189,2.118,4.324,3.573,3.783,2.259,7.16844639626167e-06
2.715,2.749,2.011,2.123,3.093,2.685,2.793,2.082,1.79211159906542e-06
2.296,2.387,2.026,2.276,2.493,2.36,2.415,1.896,4.48027899766355e-07
2.139,2.081,2.216,1.982,2.44,2.098,2.136,2.141,1.12006974941589e-07
2.188,2.101,2.145,2.13,2.197,2.178,2.194,2.224,2.80017437353972e-08
