"Reference1","Reference2","C187","C188","I373","I374","I375","I376","dilution"
7.29,7.634,3.312,3.132,7.573,7.826,6.943,7.918,0.120977924143385
7.99,7.544,2.499,2.429,7.344,7.633,5.967,7.553,0.0302444810358462
7.262,6.73,2.368,2.149,7.51,6.881,5.059,7.622,0.00756112025896155
7.009,7.302,1.838,2.017,6.831,7.007,3.626,7.017,0.00189028006474039
6.141,6.681,2.116,1.675,6.432,5.796,2.545,6.043,0.000472570016185097
4.85,4.617,2.005,1.844,4.832,4.534,2.333,4.83,0.000118142504046274
3.44,3.398,1.919,1.745,3.459,3.848,2.003,3.226,2.95356260115686e-05
2.608,2.652,1.99,1.886,2.551,2.461,2.08,2.597,7.38390650289214e-06
2.235,2.261,1.818,1.948,2.266,2.177,1.992,2.239,1.84597662572303e-06
1.961,2.067,1.853,1.782,1.974,2.052,1.765,1.978,4.61494156430759e-07
1.907,1.975,2.035,1.995,1.861,1.971,1.788,1.987,1.1537353910769e-07
1.972,2.006,1.964,1.951,1.98,1.816,2.063,1.977,2.88433847769224e-08
