"Reference1","Reference2","C319","C320","I637","I638","I639","I640","dilution"
5.482,5.348,2.868,3.054,5.342,5.183,5.453,5.312,0.11240742885354
5.222,5.649,2.53,2.388,5.252,4.828,5.136,5.695,0.0281018572133849
5.53,5.281,2.394,2.216,4.791,3.768,5.259,5.429,0.00702546430334622
5.026,4.91,2.153,2.082,4.26,3.316,4.586,4.883,0.00175636607583656
4.625,4.558,2.146,2.107,3.318,2.559,4.037,4.508,0.000439091518959139
3.772,3.863,2.153,2.228,2.748,2.271,3.295,3.774,0.000109772879739785
2.992,2.97,2.207,2.069,2.288,2.277,2.77,2.947,2.74432199349462e-05
2.513,2.485,2.113,2.012,2.281,2.078,2.528,2.273,6.86080498373654e-06
2.099,2.312,2.138,2.309,2.048,2.346,2.283,2.215,1.71520124593414e-06
2.027,2.091,2.091,2.065,2.207,2.026,2.267,2.339,4.28800311483534e-07
2.165,2.122,2.089,2.204,2.172,1.965,2.102,2.143,1.07200077870883e-07
2.218,2.066,2.036,2.045,2.178,1.921,2.159,1.901,2.68000194677209e-08
