"Reference1","Reference2","C345","C346","I689","I690","I691","I692","dilution"
7.901,8.036,3.697,3.487,7.959,6.947,7.887,8.39,0.104639848869509
8.377,7.928,2.604,2.72,7.232,5.02,8.246,7.922,0.0261599622173772
7.772,7.945,2.091,2.35,6.634,4.029,8.418,7.549,0.0065399905543443
7.741,6.974,2.1,2.179,5.518,3.376,7.506,6.989,0.00163499763858607
6.363,6.924,1.982,2.039,3.935,2.358,5.829,6.472,0.000408749409646518
5.282,5.104,2.012,2.208,2.969,2.132,5.129,5.466,0.00010218735241163
3.794,3.229,2.101,2.032,2.346,2.031,3.386,3.723,2.55468381029074e-05
2.787,3.039,1.885,2.02,2.286,2.05,2.876,3.08,6.38670952572685e-06
2.213,2.398,2.196,2.038,2.018,2.083,2.252,2.374,1.59667738143171e-06
2.054,2.132,1.944,2.188,2.108,2.096,2.046,2.096,3.99169345357928e-07
1.868,2.071,2.14,1.942,1.907,2.28,2.144,2.068,9.9792336339482e-08
2.205,2.057,2.082,2.066,1.815,2.013,1.957,1.908,2.49480840848705e-08
