"Reference1","Reference2","C275","C276","I549","I550","I551","I552","dilution"
8.941,9.218,4.275,4.54,9.068,8.952,9.315,8.539,0.167296064708698
9.287,8.967,3.491,3.485,9.01,9.36,8.734,8.239,0.0418240161771746
8.69,8.628,2.773,3.004,8.75,8.721,8.719,8.73,0.0104560040442936
8.139,8.984,2.722,2.619,7.787,8.176,7.73,8.763,0.00261400101107341
7.534,7.679,2.437,2.683,7.373,7.177,6.041,8.243,0.000653500252768353
6.578,6.793,2.432,2.547,6.262,6.017,5.003,6.981,0.000163375063192088
4.916,5.184,2.485,2.361,4.791,4.618,3.526,5.667,4.0843765798022e-05
3.414,3.508,2.505,2.266,3.66,3.297,2.844,4.365,1.02109414495055e-05
3.068,3.014,2.519,2.536,3.011,2.874,2.452,3.322,2.55273536237638e-06
2.797,2.791,2.245,2.184,2.554,2.583,2.657,2.589,6.38183840594094e-07
2.588,2.473,2.463,2.449,2.573,2.858,2.531,2.553,1.59545960148524e-07
2.631,2.28,2.554,2.614,2.28,2.245,2.472,2.317,3.98864900371309e-08
