"Reference1","Reference2","C277","C278","I553","I554","I555","I556","dilution"
7.28,7.468,3.601,3.457,6.777,3.332,7.528,3.687,0.122564411171857
7.817,7.511,2.811,2.785,6.093,2.795,6.944,2.936,0.0306411027929643
7.442,7.781,2.55,2.436,4.894,2.518,6.781,2.315,0.00766027569824108
7.407,6.57,2.17,2.275,3.36,2.45,5.627,2.261,0.00191506892456027
6.496,6.223,2.205,2.185,2.768,2.248,4.348,2.281,0.000478767231140067
5.065,4.873,2.076,2.393,2.632,2.277,3.2,2.135,0.000119691807785017
3.958,3.562,2.278,2.185,2.091,2.061,2.894,2.271,2.99229519462542e-05
3.003,2.677,2.224,2.044,2.219,2.086,2.368,2.202,7.48073798656355e-06
2.637,2.447,1.954,2.011,2.2,1.948,2.419,1.962,1.87018449664089e-06
2.449,2.277,2.236,2.048,2.33,1.989,2.357,2.11,4.67546124160222e-07
2.259,2.182,2.168,2.313,2.078,2.178,2.06,2.174,1.16886531040055e-07
2.104,2.237,2.173,2.235,2.164,2.194,2.226,1.779,2.92216327600139e-08
