"Reference1","Reference2","C103","C104","I205","I206","I207","I208","dilution"
11.543,11.421,4.057,4.597,11.346,11.535,10.757,4.663,0.110505140127208
10.969,11.377,3.198,3.147,10.69,11.862,9.88,3.175,0.027626285031802
10.875,11.294,2.662,2.533,9.98,10.372,8.509,2.599,0.0069065712579505
10.52,10.406,2.21,2.345,8.963,10.095,6.935,2.205,0.00172664281448763
9.662,8.865,2.105,2.158,7.168,7.972,5.444,2.289,0.000431660703621906
6.883,6.337,2.295,2.177,4.84,6.352,3.447,2.265,0.000107915175905477
5.069,4.663,2.21,2.114,3.304,4.291,2.741,2.182,2.69787939763691e-05
3.541,3.335,1.958,2.298,2.628,2.984,2.274,2.267,6.74469849409229e-06
2.616,2.626,2.324,2.006,2.209,2.481,2.199,2.196,1.68617462352307e-06
2.297,2.292,2.048,2.212,2.21,2.161,2.118,2.158,4.21543655880768e-07
2.231,2.173,2.005,2.236,2.139,2.274,2.061,2.145,1.05385913970192e-07
2.311,2.099,2.144,1.912,2.32,2.345,2.12,2.169,2.6346478492548e-08
