"Reference1","Reference2","C041","C042","I081","I082","I083","I084","dilution"
8.477,8.585,3.964,3.698,8.449,9.034,4.544,8.274,0.133707667603523
8.204,8.947,2.624,2.939,7.836,8.583,3.058,6.816,0.0334269169008808
7.969,8.719,2.14,2.316,7.62,7.934,2.106,5.424,0.00835672922522021
8.041,8.335,2.163,1.966,6.906,8.046,1.939,4.436,0.00208918230630505
7.115,7.001,1.791,1.739,5.188,6.708,2.02,3.256,0.000522295576576263
5.28,5.49,1.915,1.979,4.083,5.397,1.936,2.676,0.000130573894144066
3.633,3.743,1.866,1.847,2.69,3.693,1.919,2.137,3.26434735360164e-05
2.837,3.013,1.818,1.849,2.282,2.953,2.031,1.95,8.16086838400411e-06
2.48,2.288,1.948,1.935,2.006,2.148,1.891,1.861,2.04021709600103e-06
1.992,2.121,1.794,1.74,1.853,1.943,2.059,1.879,5.10054274000257e-07
1.907,1.893,1.841,1.924,1.826,1.843,1.92,1.732,1.27513568500064e-07
2.029,2.036,1.972,1.875,1.906,1.861,1.813,1.834,3.18783921250161e-08
