"Reference1","Reference2","C253","C254","I505","I506","I507","I508","dilution"
8.733,10.381,4.263,4.184,10.115,8.796,9.816,9.24,0.116931325210382
10.508,9.312,2.941,2.913,10.161,6.874,9.83,9.463,0.0292328313025955
9.96,9.89,2.543,2.401,9.516,5.181,10.161,8.564,0.00730820782564888
8.593,8.745,2.318,2.168,9.104,3.825,8.673,6.729,0.00182705195641222
7.608,7.892,1.993,2.028,8.543,2.718,7.826,5.422,0.000456762989103055
5.272,5.879,2.02,2.046,6.242,2.365,5.981,3.648,0.000114190747275764
4.291,4.179,1.931,1.976,4.601,2.043,4.476,2.742,2.8547686818941e-05
2.962,3.024,2.081,1.891,3.057,2.134,2.986,2.237,7.13692170473524e-06
2.388,2.458,2.095,2.03,2.559,1.905,2.485,2.09,1.78423042618381e-06
2.138,2.097,2.045,2.165,2.195,1.863,2.251,2.135,4.46057606545952e-07
2.078,2.257,2.168,2.044,1.955,1.942,1.885,2.006,1.11514401636488e-07
2.051,2.011,2.078,2.035,2.162,2.017,2.025,1.989,2.7878600409122e-08
