"Reference1","Reference2","C109","C110","I217","I218","I219","I220","dilution"
7.842,8.374,3.799,3.526,7.918,8.292,3.923,7.22,0.149125593091725
7.641,7.845,2.598,2.624,7.199,7.67,2.818,7.199,0.0372813982729313
8.005,8.105,2.23,2.276,6.929,6.618,2.321,6.022,0.00932034956823282
7.294,7.241,2.015,2.03,5.431,5.629,2.001,5.019,0.00233008739205821
6.967,7.025,2.075,1.968,3.816,4.171,1.846,3.158,0.000582521848014551
5.05,5.697,1.949,1.926,2.593,3.385,1.869,2.534,0.000145630462003638
3.633,4.262,1.945,1.887,2.234,2.444,1.759,2.182,3.64076155009095e-05
2.621,2.89,2,1.906,1.963,1.924,1.862,1.961,9.10190387522737e-06
2.108,2.309,1.77,1.845,1.776,1.829,1.875,2.006,2.27547596880684e-06
1.866,1.951,1.836,1.887,1.903,1.997,1.894,1.967,5.6886899220171e-07
1.755,1.907,1.83,1.725,1.897,1.836,1.866,1.63,1.42217248050428e-07
1.769,1.773,1.783,1.919,1.98,1.902,1.815,1.842,3.55543120126069e-08
