"Reference1","Reference2","C059","C060","I117","I118","I119","I120","dilution"
9.566,9.192,4.018,4.229,9.692,4.341,9.136,9.845,0.13308599221412
9.567,9.987,3.105,3.214,9.275,3.176,8.878,8.603,0.0332714980535301
9.866,9.125,2.623,2.525,8.92,2.818,7.872,8.103,0.00831787451338252
8.817,8.576,2.181,2.307,8.8,2.495,6.598,7.062,0.00207946862834563
7.179,7.415,2.4,2.288,7.583,2.222,5.016,4.886,0.000519867157086407
6.13,6.091,2.279,2.174,5.875,2.268,3.403,3.695,0.000129966789271602
4.618,4.736,2.031,2.311,4.136,2.17,2.68,2.61,3.24916973179005e-05
3.131,3.288,2.089,2.166,2.953,2.23,2.534,2.249,8.12292432947512e-06
2.703,2.531,2.137,2.008,2.393,2.311,2.257,2.164,2.03073108236878e-06
2.345,2.461,2.18,2.223,2.44,2.215,2.155,2.108,5.07682770592195e-07
2.257,2.298,2.359,2.178,2.424,2.148,2.1,2.244,1.26920692648049e-07
2.239,2.211,2.243,2.117,2.319,2.196,2.183,2.133,3.17301731620122e-08
