"Reference1","Reference2","C321","C322","I641","I642","I643","I644","dilution"
10.175,9.989,4.38,4.609,8.194,9.01,6.801,10.149,0.158286158788192
10.637,10.324,3.058,3.069,5.855,7.796,4.851,9.391,0.039571539697048
9.205,9.696,2.266,2.154,4.198,5.85,3.441,9.775,0.009892884924262
9.231,9.315,1.881,2.232,2.92,4.429,2.586,9.654,0.0024732212310655
8.57,7.727,2.065,1.774,2.334,2.758,2.167,8.494,0.000618305307766375
6.586,6.45,1.819,1.854,2.001,2.429,1.869,6.359,0.000154576326941594
5.086,4.241,1.763,1.866,2.068,1.916,1.995,5.165,3.86440817353984e-05
3.435,2.99,1.91,1.956,2.007,2.013,1.818,3.281,9.66102043384961e-06
2.441,2.409,1.796,1.822,1.821,1.927,1.827,2.477,2.4152551084624e-06
2.003,2.049,1.957,1.924,1.882,1.889,1.962,1.971,6.038137771156e-07
2.084,1.775,2.081,1.959,2.1,2.027,2.092,1.919,1.509534442789e-07
1.895,1.921,1.852,2.027,2.123,2.136,2.084,1.944,3.7738361069725e-08
