"Reference1","Reference2","C017","C018","I033","I034","I035","I036","dilution"
11.264,11.557,4.27,4.622,9.102,11.59,4.414,7.436,0.118856020315602
11.984,11.774,2.774,2.727,6.416,11.596,2.64,5.133,0.0297140050789006
11.528,10.991,2.146,2.006,3.665,10.134,1.992,3.316,0.00742850126972514
10.084,11.036,1.803,1.675,2.865,8.436,1.74,2.243,0.00185712531743128
9.318,10.148,1.767,1.699,2.086,7.042,1.743,1.889,0.000464281329357821
6.706,7.302,1.697,1.506,1.794,3.961,1.588,1.696,0.000116070332339455
4.767,5.063,1.497,1.649,1.768,2.633,1.789,1.666,2.90175830848638e-05
2.66,2.991,1.588,1.677,1.61,2.026,1.476,1.414,7.25439577121595e-06
2.422,2.288,1.499,1.622,1.656,1.799,1.606,1.584,1.81359894280399e-06
1.852,1.682,1.44,1.547,1.613,1.564,1.569,1.5,4.53399735700997e-07
1.68,1.759,1.703,1.529,1.57,1.699,1.555,1.597,1.13349933925249e-07
1.613,1.692,1.514,1.569,1.643,1.648,1.601,1.601,2.83374834813123e-08
