"Reference1","Reference2","C015","C016","I029","I030","I031","I032","dilution"
12.889,13.221,5.268,5.515,12.543,11.103,13.654,10.838,0.159078613867035
12.71,12.723,3.699,3.654,11.765,9.819,12.676,7.904,0.0397696534667588
11.723,13.071,2.93,2.725,10.958,7.013,12.104,6.333,0.00994241336668969
11.401,11.879,2.443,2.41,8.831,4.399,11.247,4.05,0.00248560334167242
10.249,10.941,2.035,1.968,7.249,3.037,10.021,3.089,0.000621400835418106
8.478,7.883,2.191,2.23,4.451,2.646,7.793,2.333,0.000155350208854526
5.632,5.726,2.127,1.929,2.967,2.395,5.285,2.281,3.88375522136316e-05
3.996,3.672,2.17,2.315,2.651,1.916,3.683,2.4,9.7093880534079e-06
2.847,2.915,1.977,2.119,2.292,2.298,2.788,2.122,2.42734701335198e-06
2.454,2.303,2.114,2.263,2.188,2.197,2.531,2.143,6.06836753337994e-07
2.185,2.248,2.117,2.089,1.969,1.99,1.958,2.163,1.51709188334498e-07
2.139,2.033,2.107,2.071,2.263,2.083,2.157,2.202,3.79272970836246e-08
