"Reference1","Reference2","C239","C240","I477","I478","I479","I480","dilution"
11.553,11.629,5.415,5.232,10.925,10.066,10.868,11.349,0.170307615420206
10.43,10.412,4.395,4.302,10.832,9.624,10.488,11.44,0.0425769038550514
10.167,10.599,3.517,3.689,10.398,7.644,10.988,10.741,0.0106442259637628
10.452,9.833,3.058,3.115,10.827,5.652,10.306,10.17,0.00266105649094071
9.518,9.169,3.174,3.072,9.074,4.019,9.839,9.887,0.000665264122735178
7.721,8.026,3.01,3.302,6.764,3.404,8.072,8.166,0.000166316030683794
5.798,6.065,2.868,2.961,5.393,3.273,6.292,6.052,4.15790076709486e-05
4.764,4.761,3.073,2.974,3.985,3.181,4.405,4.434,1.03947519177372e-05
3.667,3.536,2.963,2.88,3.429,3.406,3.633,3.598,2.59868797943429e-06
3.026,3.202,3.024,2.988,3.084,2.774,3.281,3.338,6.49671994858572e-07
3.396,3.461,3.097,3.036,2.93,2.84,2.789,3.078,1.62417998714643e-07
2.965,3.253,3.072,3.011,3.269,3.157,3.174,3.021,4.06044996786608e-08
