"Reference1","Reference2","C295","C296","I589","I590","I591","I592","dilution"
11.48,11.544,4.252,4.187,4.579,11.182,11.267,11.128,0.0942953558900099
12.056,11.476,3.165,3.127,3.141,11.448,11.355,11.506,0.0235738389725025
11.191,11.083,2.706,2.662,2.657,11.048,10.409,10.708,0.00589345974312562
10.589,10.385,2.267,2.304,2.282,10.508,10.039,10.409,0.0014733649357814
9.304,9.228,2.351,2.232,2.093,9.016,7.399,8.76,0.000368341233945351
6.992,7.435,2.214,2.171,2.091,6.517,5.75,7.048,9.20853084863378e-05
4.946,4.89,2.334,2.192,2.179,4.365,3.611,4.65,2.30213271215845e-05
3.201,3,2.152,2.313,2.078,3.085,2.994,3.14,5.75533178039611e-06
2.474,2.556,2.042,2.11,1.97,2.551,2.284,2.665,1.43883294509903e-06
2.58,2.273,1.926,2.142,2.158,2.038,2.271,2.275,3.59708236274757e-07
2.17,2.256,2.009,2.194,2.247,2.184,2.405,2.169,8.99270590686893e-08
2.067,2.325,2.154,2.155,2.151,2.097,2.044,2.17,2.24817647671723e-08
