"Reference1","Reference2","C281","C282","I561","I562","I563","I564","dilution"
10.287,10.383,4.961,4.691,11.149,10.386,10.539,9.899,0.140125135015832
9.671,10.07,3.875,3.723,10.274,10.749,9.697,9.119,0.0350312837539579
10.14,10.405,3.127,3.269,9.854,10.232,10.471,8.433,0.00875782093848947
9.513,9.874,2.696,2.907,9.701,8.945,9.174,6.667,0.00218945523462237
8.612,9.228,2.724,2.66,7.962,8.144,7.818,4.992,0.000547363808655592
6.295,6.625,2.923,2.652,5.868,5.979,7.836,3.591,0.000136840952163898
5.098,5.264,2.587,2.713,5.159,4.401,4.757,3.26,3.42102380409745e-05
3.691,3.98,2.761,2.694,3.602,3.61,3.8,2.783,8.55255951024362e-06
3.324,3.455,2.778,2.686,2.927,2.836,3.084,2.837,2.13813987756091e-06
2.748,3.049,2.791,2.835,3.108,3.14,2.799,2.802,5.34534969390226e-07
2.815,2.572,2.871,2.61,2.733,2.747,2.848,2.768,1.33633742347557e-07
2.728,2.614,2.546,2.75,2.582,2.735,2.682,2.771,3.34084355868892e-08
