"Reference1","Reference2","C159","C160","I317","I318","I319","I320","dilution"
9.172,8.848,3.837,3.978,8.568,7.946,9.083,9.412,0.158652929332786
9.364,9.155,2.665,2.879,8.828,7.179,9.61,9.015,0.0396632323331965
8.458,8.652,2.179,2.252,8.564,5.161,9.118,8.932,0.00991580808329913
8.13,8.538,1.896,1.835,8.496,3.611,8.472,8.783,0.00247895202082478
7.098,7.339,1.643,1.712,7.526,2.374,7.952,7.792,0.000619738005206195
6.253,6.258,1.793,1.707,6.448,2.153,6.058,5.895,0.000154934501301549
3.955,3.983,1.707,1.703,4.738,1.786,4.171,4.275,3.87336253253872e-05
2.625,2.803,1.691,1.791,3.47,1.542,3.029,2.639,9.6834063313468e-06
2.22,2.052,1.84,1.77,2.112,1.732,2.079,2.102,2.4208515828367e-06
1.991,1.975,1.554,1.839,2.005,1.711,1.976,1.973,6.05212895709175e-07
1.79,1.696,1.698,1.589,1.762,1.65,1.733,1.697,1.51303223927294e-07
1.581,1.78,1.595,1.676,1.721,1.729,1.727,1.543,3.78258059818234e-08
