"Reference1","Reference2","C049","C050","I097","I098","I099","I100","dilution"
7.422,7.663,3.03,3.197,6.649,5.192,7.476,7.904,0.132365772562793
7.266,7.875,2.595,2.61,5.781,3.828,7.034,6.93,0.0330914431406983
7.168,7.049,1.876,1.998,4.412,2.679,7.021,7.192,0.00827286078517457
6.692,6.757,1.654,1.849,3.125,2.017,6.183,6.903,0.00206821519629364
6.066,6.408,1.687,1.438,2.318,1.653,4.873,5.761,0.000517053799073411
4.549,4.593,1.641,1.704,1.728,1.755,3.44,4.919,0.000129263449768353
3.338,3.45,1.449,1.621,1.635,1.661,2.489,3.462,3.23158624420882e-05
2.4,2.378,1.657,1.571,1.642,1.419,1.99,2.591,8.07896561052205e-06
1.796,2.05,1.631,1.542,1.595,1.518,1.682,2.022,2.01974140263051e-06
1.721,1.611,1.558,1.554,1.693,1.574,1.542,1.742,5.04935350657628e-07
1.573,1.564,1.528,1.303,1.562,1.58,1.45,1.649,1.26233837664407e-07
1.566,1.608,1.57,1.557,1.469,1.559,1.612,1.601,3.15584594161017e-08
