"Reference1","Reference2","C181","C182","I361","I362","I363","I364","dilution"
7.818,7.608,2.973,2.879,7.727,7.913,7.841,7.957,0.0863800100501241
7.936,7.754,2.278,2.115,7.604,7.312,7.58,7.782,0.021595002512531
7.066,7.59,1.667,1.95,7.66,6.286,7.541,7.853,0.00539875062813276
7.358,6.71,1.612,1.541,7.052,5.328,7.242,7.234,0.00134968765703319
6.135,6.179,1.636,1.529,5.963,3.852,6.092,6.554,0.000337421914258297
4.659,4.253,1.475,1.408,4.061,2.415,4.808,4.476,8.43554785645743e-05
3.227,2.957,1.461,1.411,2.897,1.716,2.942,3.186,2.10888696411436e-05
2.343,2.222,1.531,1.448,2.03,1.567,2.164,2.192,5.2722174102859e-06
1.755,1.623,1.401,1.41,1.606,1.579,1.712,1.756,1.31805435257147e-06
1.575,1.516,1.366,1.506,1.542,1.488,1.668,1.519,3.29513588142869e-07
1.589,1.377,1.357,1.381,1.472,1.479,1.413,1.578,8.23783970357171e-08
1.454,1.421,1.436,1.459,1.569,1.454,1.348,1.345,2.05945992589293e-08
