"Reference1","Reference2","C055","C056","I109","I110","I111","I112","dilution"
9.35,9.877,3.661,4.026,8.501,9.474,3.623,9.327,0.112140052075968
9.066,9.254,2.576,2.542,8.579,9.63,2.467,8.764,0.0280350130189921
9.273,9.004,1.975,1.964,7.776,9.294,1.894,7.209,0.00700875325474803
8.668,8.853,1.551,1.771,6.419,8.348,1.604,5.056,0.00175218831368701
7.516,7.345,1.632,1.705,4.366,6.911,1.587,3.358,0.000438047078421752
6.297,6.218,1.563,1.539,3.02,5.215,1.622,2.505,0.000109511769605438
4.258,4.222,1.687,1.508,2.134,3.781,1.468,1.859,2.73779424013595e-05
2.531,2.648,1.651,1.637,1.761,2.369,1.55,1.673,6.84448560033987e-06
2.121,1.91,1.639,1.614,1.478,1.872,1.669,1.575,1.71112140008497e-06
1.693,1.664,1.645,1.52,1.505,1.684,1.52,1.664,4.27780350021242e-07
1.645,1.64,1.573,1.429,1.399,1.536,1.428,1.649,1.0694508750531e-07
1.516,1.552,1.636,1.583,1.613,1.542,1.625,1.51,2.67362718763276e-08
