"Reference1","Reference2","C125","C126","I249","I250","I251","I252","dilution"
6.67,6.843,2.895,2.79,6.287,6.542,6.318,6.241,0.109572426289017
6.358,6.428,2.077,2.023,6.63,5.819,6.916,5.236,0.0273931065722542
6.417,6.569,1.817,1.944,6.188,5.777,6.607,4.04,0.00684827664306354
6.058,5.91,1.691,1.678,5.605,4.967,6.473,2.797,0.00171206916076589
5.599,5.104,1.746,1.747,5.036,3.738,5.216,2.166,0.000428017290191471
4.214,4.399,1.732,1.575,3.29,2.539,4.493,1.774,0.000107004322547868
3.179,3.366,1.528,1.446,2.794,2.102,3.16,1.651,2.6751080636967e-05
2.309,2.274,1.506,1.706,1.871,1.707,2.458,1.524,6.68777015924174e-06
1.919,1.941,1.62,1.725,1.65,1.72,2.058,1.65,1.67194253981044e-06
1.795,1.849,1.551,1.652,1.645,1.643,1.577,1.609,4.17985634952609e-07
1.579,1.625,1.655,1.627,1.524,1.65,1.737,1.664,1.04496408738152e-07
1.674,1.591,1.54,1.615,1.629,1.702,1.742,1.725,2.6124102184538e-08
