"Reference1","Reference2","C285","C286","I569","I570","I571","I572","dilution"
9.749,10.294,4.196,4.904,10.074,10.576,9.868,9.942,0.159076572254806
10.26,10.491,3.197,3.189,8.93,9.497,10.203,9.972,0.0397691430637016
9.667,10.339,2.397,2.389,8.29,8.705,9.541,9.767,0.0099422857659254
9.709,9.646,1.893,2.151,6.863,6.19,9.153,8.819,0.00248557144148135
8.039,8.301,1.806,2.02,4.654,5.044,8.705,8.294,0.000621392860370338
7.015,6.931,1.836,2.092,3.465,3.287,6.393,6.301,0.000155348215092584
4.782,4.81,1.963,2.079,2.507,2.434,4.364,4.343,3.88370537731461e-05
3.258,3.219,1.908,1.867,1.998,2.358,3.418,2.952,9.70926344328653e-06
2.319,2.543,1.935,1.862,1.925,2.041,2.386,2.558,2.42731586082163e-06
2.143,2.163,1.981,2.026,1.877,1.786,2.124,2.113,6.06828965205408e-07
2.042,2.196,1.905,1.985,2.073,1.971,1.921,2.095,1.51707241301352e-07
1.994,2.026,1.972,2.068,1.785,2.101,1.68,1.905,3.7926810325338e-08
