"Reference1","Reference2","C289","C290","I577","I578","I579","I580","dilution"
11.312,11.141,4.777,4.665,10.431,9.938,10.513,8.383,0.10707406088124
10.484,10.134,3.638,3.489,10.703,8.394,9.872,5.984,0.02676851522031
10.205,10.371,2.71,3.019,9.872,6.73,8.443,4.557,0.00669212880507751
9.273,9.704,2.611,2.747,9.15,4.845,7.041,3.563,0.00167303220126938
8.535,8.239,2.681,2.306,7.991,3.657,4.965,2.951,0.000418258050317344
6.624,7.059,2.722,2.563,6.566,3.26,3.4,2.878,0.000104564512579336
4.631,4.614,2.69,2.639,4.592,2.6,2.986,2.66,2.6141128144834e-05
3.609,3.714,2.64,2.646,3.676,2.765,2.818,2.652,6.53528203620851e-06
3.18,2.996,2.568,2.536,3.08,2.436,2.696,2.609,1.63382050905213e-06
2.542,2.744,2.843,2.803,2.946,2.404,2.737,2.588,4.08455127263032e-07
2.683,2.419,2.56,2.585,2.844,2.785,2.586,2.572,1.02113781815758e-07
2.346,2.626,2.694,2.588,2.659,2.541,2.55,2.589,2.55284454539395e-08
