"Reference1","Reference2","C229","C230","I457","I458","I459","I460","dilution"
8.804,8.482,3.088,3.209,8.004,8.018,6.698,8.684,0.128449820820102
8.571,8.533,2.362,2.309,8.46,8.164,5.087,8.575,0.0321124552050254
7.807,7.941,1.694,1.671,7.529,8.15,3.279,8.336,0.00802811380125636
8.07,7.77,1.466,1.49,6.934,8.13,2.125,7.122,0.00200702845031409
6.56,6.162,1.329,1.327,5.71,6.63,1.732,6.278,0.000501757112578522
4.959,4.977,1.356,1.297,3.973,5.118,1.409,4.558,0.000125439278144631
3.823,3.471,1.219,1.26,2.707,3.323,1.348,3.628,3.13598195361576e-05
2.452,2.219,1.393,1.416,1.955,2.256,1.313,2.401,7.83995488403941e-06
1.781,1.91,1.305,1.258,1.666,1.777,1.374,1.747,1.95998872100985e-06
1.579,1.512,1.174,1.274,1.377,1.533,1.325,1.501,4.89997180252463e-07
1.327,1.38,1.279,1.257,1.388,1.222,1.303,1.309,1.22499295063116e-07
1.386,1.296,1.301,1.246,1.364,1.314,1.267,1.297,3.0624823765779e-08
