"Reference1","Reference2","C241","C242","I481","I482","I483","I484","dilution"
7.141,7.577,3.089,3.194,6.654,3.629,7.372,2.931,0.0926175835709046
7.088,7.516,2.382,2.279,6.617,2.499,7.296,2.252,0.0231543958927261
7.322,6.517,1.911,2.14,4.422,2.15,7.179,2.096,0.00578859897318154
6.669,6.674,1.862,1.91,3.875,1.94,7.019,1.91,0.00144714974329538
5.821,6.026,1.722,1.812,2.653,1.828,5.772,1.872,0.000361787435823846
4.619,4.143,1.657,1.618,2.155,1.808,4.503,1.868,9.04468589559615e-05
3.33,3.665,1.944,1.72,1.911,1.749,3.433,1.72,2.26117147389904e-05
2.243,2.451,1.687,1.75,1.739,1.898,2.286,1.731,5.6529286847476e-06
1.91,1.969,1.68,1.803,1.837,1.85,2.03,1.809,1.4132321711869e-06
1.83,1.742,1.883,1.821,1.574,1.912,1.884,1.898,3.53308042796725e-07
1.819,1.911,1.558,1.824,1.733,1.777,1.712,1.936,8.83270106991812e-08
1.782,1.828,1.63,1.77,1.774,1.754,1.822,1.87,2.20817526747953e-08
