"Reference1","Reference2","C153","C154","I305","I306","I307","I308","dilution"
10.914,12.172,3.59,4.079,11.178,10.989,10.514,9.949,0.131313268352289
11.609,11.752,2.468,2.218,10.86,10.214,9.699,7.934,0.0328283170880723
10.039,10.227,1.589,1.354,10.654,8.44,9.148,6.964,0.00820707927201808
10.283,10.219,1.282,1.251,9.767,6.348,5.596,4.499,0.00205176981800452
8.703,7.878,1.028,1.067,7.873,3.716,4.01,2.34,0.00051294245450113
7.232,6.607,0.898,1.061,5.45,2.375,2.144,1.675,0.000128235613625283
4.37,3.964,1.055,1.105,3.358,1.639,1.433,1.262,3.20589034063206e-05
2.331,2.698,1.008,1.002,2.477,1.25,1.204,1.181,8.01472585158016e-06
1.609,1.772,1.063,0.884,1.546,1.075,0.975,1.053,2.00368146289504e-06
1.242,1.287,0.906,0.933,1.151,1.104,1.075,0.945,5.0092036572376e-07
1.047,1.13,0.996,0.997,1.08,0.902,1.064,0.968,1.2523009143094e-07
1.016,1.029,0.99,1.076,1.079,0.962,0.929,0.984,3.1307522857735e-08
