"Reference1","Reference2","C075","C076","I149","I150","I151","I152","dilution"
11.651,11.581,5,4.663,11.11,10.247,11.805,11.87,0.155739795651852
10.415,11.998,3.458,3.599,9.063,8.094,11.277,11.964,0.038934948912963
11.215,11.821,2.504,2.937,7.375,5.353,10.851,11.876,0.00973373722824074
10.939,10.826,2.28,2.361,4.996,4.079,10.641,10.621,0.00243343430706019
9.706,9.176,2.153,2.075,3.461,2.652,9.092,10.208,0.000608358576765046
7.799,7.146,2.1,1.982,2.732,2.413,6.88,8.339,0.000152089644191262
5.694,4.524,2.051,2.235,2.143,2.228,5.685,6.295,3.80224110478154e-05
3.759,3.549,1.962,2.043,2.132,1.938,3.678,3.905,9.50560276195385e-06
2.747,2.64,1.941,1.765,2.112,1.886,2.6,2.89,2.37640069048846e-06
2.363,2.361,2.082,1.97,1.978,2.099,2.31,2.356,5.94100172622116e-07
1.967,2.293,2.001,1.962,2.141,1.863,2.266,2.227,1.48525043155529e-07
2.229,2.196,1.985,2.076,2.007,2.089,2.103,2.094,3.71312607888822e-08
