"Reference1","Reference2","C001","C002","I001","I002","I003","I004","dilution"
8.414,8.482,3.712,3.582,3.575,6.564,8.691,8.208,0.138561361229087
8.669,8.319,2.705,2.668,2.514,4.756,7.988,8.298,0.0346403403072718
8.524,8.487,1.972,2.088,2.017,3.552,7.982,8.194,0.00866008507681796
7.934,8.37,1.853,1.597,1.727,2.45,6.238,7.577,0.00216502126920449
6.859,6.845,1.713,1.867,1.718,2.104,4.214,6.624,0.000541255317301123
5.774,5.654,1.721,1.64,1.732,1.756,3.351,5.709,0.000135313829325281
3.718,3.674,1.663,1.751,1.732,1.939,2.391,4.006,3.38284573313202e-05
2.566,2.62,1.597,1.739,1.655,1.594,1.963,2.591,8.45711433283004e-06
2.046,1.995,1.54,1.739,1.605,1.728,1.854,2.085,2.11427858320751e-06
1.676,1.85,1.638,1.576,1.553,1.583,1.802,1.856,5.28569645801878e-07
1.84,1.779,1.771,1.632,1.762,1.624,1.745,1.545,1.32142411450469e-07
1.791,1.653,1.755,1.609,1.759,1.645,1.626,1.534,3.30356028626173e-08
