"Reference1","Reference2","C339","C340","I677","I678","I679","I680","dilution"
9.315,9.001,4.773,4.831,9.639,8.553,6.496,9.613,0.132528257423317
9.012,8.968,3.656,3.443,8.985,7.428,4.632,9.203,0.0331320643558292
9.051,9.336,3.022,2.946,9.126,5.878,3.276,8.897,0.00828301608895731
8.142,8.33,2.886,2.938,8.859,4.655,3.306,7.703,0.00207075402223933
8.035,7.96,2.865,3.196,8.254,3.505,2.869,6.511,0.000517688505559832
6.927,5.951,2.813,2.746,7.016,2.883,2.899,5.026,0.000129422126389958
5.211,4.711,2.784,3.022,5.269,2.812,2.814,3.878,3.23555315974895e-05
3.828,3.794,3.192,2.85,4.125,2.931,2.65,3.175,8.08888289937237e-06
3.096,3.27,3.025,2.772,3.388,2.875,2.893,2.949,2.02222072484309e-06
2.938,2.982,2.914,3.345,3.128,2.644,3.066,2.714,5.05555181210773e-07
3.053,2.706,2.936,2.756,3.365,3.06,2.851,2.779,1.26388795302693e-07
2.695,3.081,2.682,2.626,3.045,2.872,3.027,2.667,3.15971988256733e-08
