"Reference1","Reference2","C191","C192","I381","I382","I383","I384","dilution"
13.609,12.392,5.735,5.806,12.058,5.651,12.228,11.964,0.15181091129411
11.997,12.414,3.954,3.839,12.41,4.226,12.173,12.027,0.0379527278235276
11.885,12.036,3.159,3.065,11.195,3.097,12.815,11.859,0.0094881819558819
11.899,11.137,2.805,2.855,9.31,2.707,12.461,10.115,0.00237204548897048
10.08,9.984,2.257,2.506,7.682,2.458,10.97,7.351,0.000593011372242619
8.815,8.001,2.461,2.519,4.985,2.59,8.358,5.515,0.000148252843060655
6.151,5.725,2.46,2.335,3.71,2.365,6.171,3.846,3.70632107651637e-05
3.856,4.093,2.337,2.419,2.739,2.743,4.075,2.95,9.26580269129092e-06
3.206,3.118,2.536,2.364,2.636,2.49,3.263,2.667,2.31645067282273e-06
2.711,2.869,2.644,2.38,2.423,2.56,2.728,2.643,5.79112668205683e-07
2.385,2.385,2.442,2.501,2.279,2.358,2.454,2.326,1.44778167051421e-07
2.449,2.317,2.474,2.581,2.556,2.375,2.428,2.041,3.61945417628552e-08
