"Reference1","Reference2","C349","C350","I697","I698","I699","I700","dilution"
14.696,14.347,5.825,5.819,14.847,5.511,14.434,14.608,0.121457743407517
13.875,15.343,3.589,3.498,13.592,3.967,13.762,14.643,0.0303644358518793
13.369,14.102,2.717,2.562,13.833,2.732,14.54,13.674,0.00759110896296983
13.917,13.204,2.307,2.275,14.081,2.223,13.183,13.498,0.00189777724074246
10.988,10.648,2.147,1.855,11.247,2.299,11.369,11.302,0.000474444310185614
8.541,8.572,2.236,2.035,8.848,2.096,9.328,7.921,0.000118611077546404
5.44,5.737,2.003,2.218,6.299,1.893,6.022,5.491,2.96527693866009e-05
3.512,3.765,2.113,1.961,3.731,1.943,4.159,3.719,7.41319234665022e-06
2.527,2.674,1.949,2.086,2.741,2.015,2.482,2.753,1.85329808666256e-06
2.296,2.279,2.025,2.139,2.349,1.947,2.083,2.282,4.63324521665639e-07
2.048,2.044,2.209,2.05,1.991,2.104,2.07,2.145,1.1583113041641e-07
2.045,1.932,1.826,2.042,1.912,2.067,2.013,1.832,2.89577826041024e-08
