"Reference1","Reference2","C167","C168","I333","I334","I335","I336","dilution"
10.013,9.841,4.433,5.481,10.284,8.904,9.673,9.932,0.189817278955796
9.89,9.913,3.271,3.498,9.773,9.013,8.112,9.656,0.047454319738949
9.949,10.266,2.704,2.628,9.82,7.356,6.905,8.6,0.0118635799347372
9.487,9.491,2.474,2.39,9.254,4.81,4.927,6.702,0.00296589498368431
8.586,8.581,2.226,2.518,7.516,4.246,3.641,4.926,0.000741473745921078
6.337,6.742,2.207,2.386,5.575,3.249,2.788,3.425,0.000185368436480269
5.153,4.623,2.119,2.321,4.021,2.693,2.345,2.913,4.63421091200674e-05
3.532,3.869,2.165,2.128,2.995,2.342,2.394,2.613,1.15855272800168e-05
2.648,2.814,2.13,2.186,2.369,2.238,2.307,2.253,2.89638182000421e-06
2.465,2.467,2.013,2.175,2.112,2.29,2.395,2.135,7.24095455001053e-07
2.311,2.387,2.037,2.285,2.301,2.125,2.378,2.296,1.81023863750263e-07
2.044,1.974,2.156,2.199,2.142,2.293,2.321,2.172,4.52559659375658e-08
